                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                              Generated by UCC v.2014.08 on 3 29 2015                              
                                   UCC -dir Test_Cases test2.cpp                                   

                                      RESULTS FOR C_CPP FILES                                      

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
31,7,2,0,1,2,12,15,22,CODE,Test_Cases/test2.cpp

                                          RESULTS SUMMARY                                          

Total,Blank,Comments,,Compiler,Data,Exec.,,File,SLOC
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,Type,Definition
31,7,2,0,1,2,19,22,CODE,Physical
31,7,2,0,1,2,12,15,CODE,Logical

Number of files successfully accessed,1,out of,1

Ratio of Physical to Logical SLOC,    1.47

                                TOTAL OCCURRENCES OF C_CPP KEYWORDS                                
Compiler Directives,,Data Keywords,,Executable Keywords
#define,0,asm,0,break,0
#dictionary,0,auto,0,case,0
#error,0,bool,1,catch,0
#if,0,char,0,cerr,0
#ifdef,0,class,0,cin,0
#ifndef,0,const,0,clog,0
#else,0,double,0,const_cast,0
#elif,0,enum,0,continue,0
#endif,0,explicit,0,cout,5
#import,0,extern,0,default,0
#include,1,FILE,0,delete,0
#line,0,float,0,do,0
#module,0,friend,0,dynamic_cast,0
#pragma,0,inline,0,else,0
#undef,0,int,1,entry,0
#using,0,long,0,for,0
# define,0,mutable,0,goto,0
# dictionary,0,namespace,1,if,5
# error,0,operator,0,new,0
# if,0,register,0,reinterpret_cast,0
# ifdef,0,short,0,return,1
# ifndef,0,static,0,sizeof,0
# else,0,string,0,stderr,0
# elif,0,struct,0,stdin,0
# endif,0,template,0,stdout,0
# import,0,typedef,0,switch,0
# include,0,union,0,static_cast,0
# line,0,unsigned,0,throw,0
# module,0,using,1,try,0
# pragma,0,virtual,0,typeid,0
# undef,0,void,0,while,0
# using,0,volatile,0,
,,wchar_t,0,
