                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                       LANGUAGE COUNT SUMMARY                                       
                              Generated by UCC v.2014.08 on 3 29 2015                              
                                   UCC -dir Test_Cases test2.cpp                                   

Language,Number,Physical,Logical
Name,of Files,SLOC,SLOC
C_CPP,1,35,26

Total,1,35,26
