                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                       LANGUAGE COUNT SUMMARY                                       
                              Generated by UCC v.2014.08 on 11 6 2014                              
                                                UCC                                                

Language,Number,Physical,Logical
Name,of Files,SLOC,SLOC
C_CPP,6,1030,709

Total,6,1030,709
